"longitude","latitude","which.ocean","year","month","trend","prob","measured_catch","eff"
-66.5,-56.5,"atl",2006,9,681,0.000376447962446606,2.22044604925031e-16,40.6809714016008
-61.5,-56.5,"atl",2006,9,681,0.00101482186185303,3.35450178768942e-13,1048.85670400589
-56.5,-56.5,"atl",2006,9,681,0.00355520150595152,5.77155878764291e-07,22574.8409356551
-51.5,-56.5,"atl",2006,9,681,0.0131779421427035,0.0549666084724411,213097.705776819
-46.5,-56.5,"atl",2006,9,681,0.044820984889765,18.6705734235719,494495.094548009
-41.5,-56.5,"atl",2006,9,681,0.125515320635666,25.0183162068339,324001.394130431
-36.5,-56.5,"atl",2006,9,681,0.238137741910866,5.19072342837212,107618.001870767
-31.5,-56.5,"atl",2006,9,681,0.258153308183809,103.921738027141,32753.5413087433
-26.5,-56.5,"atl",2006,9,681,0.169923482211427,154714.69247228,16505.4807661117
-21.5,-56.5,"atl",2006,9,681,0.104254917057816,1443969,19869.1997621278
-16.5,-56.5,"atl",2006,9,681,0.063755007860093,617164.262217352,43855.6399325407
-11.5,-56.5,"atl",2006,9,681,0.0192059101851146,9531.37600659359,122071.045016954
-6.5,-56.5,"atl",2006,9,681,0.00281120088512291,401.651118014042,294707.548876421
-1.5,-56.5,"atl",2006,9,681,0.00105446918289383,156.878841877674,435809.776260672
3.5,-56.5,"atl",2006,9,681,0.0018961955407473,321.689405122678,373710.651608236
8.5,-56.5,"atl",2006,9,681,0.00356897703413149,79.9776353650593,211127.150083317
13.5,-56.5,"atl",2006,9,681,0.00222843287437573,0.185213689144722,89527.6404732794
18.5,-56.5,"atl",2006,9,681,0.000666016584418899,2.2475136553541e-05,32464.5195334837
-66.5,-51.5,"atl",2006,9,681,0.00564595825074311,1.42145214449371e-12,168.618510506443
-61.5,-51.5,"atl",2006,9,681,0.0128453305859352,1.19905143653571e-08,2410.76727093101
-56.5,-51.5,"atl",2006,9,681,0.0368332595886005,0.00131418462595563,31187.0006939075
-51.5,-51.5,"atl",2006,9,681,0.0919274861596611,5.5273790580818,208260.463469159
-46.5,-51.5,"atl",2006,9,681,0.176201161808818,182.692218385408,432743.021158845
-41.5,-51.5,"atl",2006,9,681,0.27495261107766,188.826126477127,310560.470536046
-36.5,-51.5,"atl",2006,9,681,0.345442994701882,82.8258500300339,124943.192104349
-31.5,-51.5,"atl",2006,9,681,0.322149789126965,501.875709682108,46002.3971217501
-26.5,-51.5,"atl",2006,9,681,0.223377122596552,35038.7320004771,25298.9411360597
-21.5,-51.5,"atl",2006,9,681,0.148997533939311,346852.64852779,28229.0888674115
-16.5,-51.5,"atl",2006,9,681,0.102062727477353,120597.162864959,51889.5708300184
-11.5,-51.5,"atl",2006,9,681,0.0476726010427776,8707.33688986635,116654.428397944
-6.5,-51.5,"atl",2006,9,681,0.0147456307462849,712.253020735461,238127.496808239
-1.5,-51.5,"atl",2006,9,681,0.00803025232514656,266.207906756753,334592.806046887
3.5,-51.5,"atl",2006,9,681,0.0116971241160227,436.688803462158,309132.447130902
8.5,-51.5,"atl",2006,9,681,0.0203896538497315,200.853617744665,207169.647279923
13.5,-51.5,"atl",2006,9,681,0.0228089685044873,3.76257789948824,111336.668433331
18.5,-51.5,"atl",2006,9,681,0.0187804516366317,0.0092279128280628,53046.6417348861
-66.5,-46.5,"atl",2006,9,681,0.0779804031952571,2.35971603380739e-07,644.780168638809
-61.5,-46.5,"atl",2006,9,681,0.143221626563682,0.000305559150070801,5210.51061509521
-56.5,-46.5,"atl",2006,9,681,0.28675335677,1.70854395514476,41324.4600074167
-51.5,-46.5,"atl",2006,9,681,0.420568120316536,346.910807195722,198447.229252078
-46.5,-46.5,"atl",2006,9,681,0.474268135266372,1446.81924401322,372689.812352696
-41.5,-46.5,"atl",2006,9,681,0.48703087710993,1195.59917948066,293745.640824235
-36.5,-46.5,"atl",2006,9,681,0.472612605275413,979.791060559899,143036.622885302
-31.5,-46.5,"atl",2006,9,681,0.404857775919717,2108.92831107144,63647.2150373328
-26.5,-46.5,"atl",2006,9,681,0.297837171794825,10669.0709754323,38273.2477631092
-21.5,-46.5,"atl",2006,9,681,0.215480142252073,33266.8521561739,39848.5096185295
-16.5,-46.5,"atl",2006,9,681,0.163955763505103,31131.6798897378,61558.0035182966
-11.5,-46.5,"atl",2006,9,681,0.11195896419964,8488.70690413984,112744.119994682
-6.5,-46.5,"atl",2006,9,681,0.0670009674051621,1274.68819661448,195623.697219392
-1.5,-46.5,"atl",2006,9,681,0.0510713653055866,470.603859491455,260967.740322824
3.5,-46.5,"atl",2006,9,681,0.0613923673687166,633.826560255602,257970.813965834
8.5,-46.5,"atl",2006,9,681,0.0953557106329428,496.156879290491,202690.456905157
13.5,-46.5,"atl",2006,9,681,0.157024335430523,58.420788614706,135999.661457022
18.5,-46.5,"atl",2006,9,681,0.254873168364716,2.02862255003608,83723.4218346024
-61.5,-41.5,"atl",2006,9,681,0.683424431112108,4.18735914206993,10060.7273145813
-56.5,-41.5,"atl",2006,9,681,0.803128893422768,795.013569917077,50725.848419785
-51.5,-41.5,"atl",2006,9,681,0.824516672376259,9174.72898109829,180524.102745127
-46.5,-41.5,"atl",2006,9,681,0.767441756424855,7774.69809695262,311689.474112781
-41.5,-41.5,"atl",2006,9,681,0.682913723996955,5486.07297747556,271150.830947725
-36.5,-41.5,"atl",2006,9,681,0.605930289511409,6696.09954899432,159592.088117871
-31.5,-41.5,"atl",2006,9,681,0.51486678375692,6866.72849861946,85668.0817603914
-26.5,-41.5,"atl",2006,9,681,0.40602744910455,5589.85737858812,56529.1906788954
-21.5,-41.5,"atl",2006,9,681,0.317559185144095,7553.15363608781,55589.357742569
-16.5,-41.5,"atl",2006,9,681,0.264452436827027,13389.7186809921,73383.2562706676
-11.5,-41.5,"atl",2006,9,681,0.236027544412437,9322.79668438807,111244.213258286
-6.5,-41.5,"atl",2006,9,681,0.222557055778935,2319.94805675637,165661.542037706
-1.5,-41.5,"atl",2006,9,681,0.215924328383136,896.773862845427,209515.653307682
3.5,-41.5,"atl",2006,9,681,0.224913044373686,1040.04258251541,218773.213026598
8.5,-41.5,"atl",2006,9,681,0.293188801238089,1189.07756580017,197243.73694547
13.5,-41.5,"atl",2006,9,681,0.475517615936691,554.170505710789,160757.55463931
18.5,-41.5,"atl",2006,9,681,0.719250166932223,141.87617998865,124001.328575211
-56.5,-36.5,"atl",2006,9,681,0.975193986305928,82999.1480357568,55711.3773282048
-51.5,-36.5,"atl",2006,9,681,0.963254357291889,69030.9823595944,153503.785844513
-46.5,-36.5,"atl",2006,9,681,0.907527725990651,23766.8166595913,249782.334613537
-41.5,-36.5,"atl",2006,9,681,0.808881070981009,15758.7922968841,241575.563661002
-36.5,-36.5,"atl",2006,9,681,0.728155412427163,20602.6216545706,171524.991490012
-31.5,-36.5,"atl",2006,9,681,0.652366891263804,15427.9033245459,110780.501383605
-26.5,-36.5,"atl",2006,9,681,0.556222233141988,6449.19116669638,80630.6887348201
-21.5,-36.5,"atl",2006,9,681,0.468550980577925,6006.31970891287,76225.6604091908
-16.5,-36.5,"atl",2006,9,681,0.418596141817746,12100.9109987749,88099.9418403504
-11.5,-36.5,"atl",2006,9,681,0.421140179304321,12176.4701651944,113119.783808167
-6.5,-36.5,"atl",2006,9,681,0.465650867050597,4326.90617353604,146623.96142191
-1.5,-36.5,"atl",2006,9,681,0.490527157970734,1905.97977428796,175434.247972768
3.5,-36.5,"atl",2006,9,681,0.483269421391255,2040.01494485202,189931.075548476
8.5,-36.5,"atl",2006,9,681,0.530756003267748,2726.94709677307,190446.720775554
13.5,-36.5,"atl",2006,9,681,0.682509416866196,2567.07205554599,181156.678494032
18.5,-36.5,"atl",2006,9,681,0.844140656743693,1875.60787637007,167434.956358878
-51.5,-31.5,"atl",2006,9,681,0.990889845336767,132578.733739794,119464.404009566
-46.5,-31.5,"atl",2006,9,681,0.955403878376001,36153.774348298,189266.642028167
-41.5,-31.5,"atl",2006,9,681,0.869005697590659,23742.7962625992,205440.429187272
-36.5,-31.5,"atl",2006,9,681,0.812624114767089,23968.7217638225,175516.47053899
-31.5,-31.5,"atl",2006,9,681,0.776037700264852,22286.3697300806,135917.760196275
-26.5,-31.5,"atl",2006,9,681,0.71244146014638,17891.0922282246,109861.062303643
-21.5,-31.5,"atl",2006,9,681,0.642000164765596,19250.5425058715,102189.509644884
-16.5,-31.5,"atl",2006,9,681,0.597384774875972,24547.030405238,106752.643585831
-11.5,-31.5,"atl",2006,9,681,0.599902101942025,18649.3903065982,119664.151752301
-6.5,-31.5,"atl",2006,9,681,0.64213279415593,7966.27254641936,137520.012103225
-1.5,-31.5,"atl",2006,9,681,0.671806485376162,4382.38535638892,155234.900112
3.5,-31.5,"atl",2006,9,681,0.669566284844148,4659.97758697859,170042.289415588
8.5,-31.5,"atl",2006,9,681,0.67101487651908,5654.04223823115,182004.340169662
13.5,-31.5,"atl",2006,9,681,0.701768443240694,5043.60430966436,191735.326291817
-46.5,-26.5,"atl",2006,9,681,0.964861554624579,31159.7471921131,133803.356670685
-41.5,-26.5,"atl",2006,9,681,0.871128233506158,13004.690148769,164929.360022368
-36.5,-26.5,"atl",2006,9,681,0.814420299743381,14109.7032430273,169007.216962016
-31.5,-26.5,"atl",2006,9,681,0.804257752484473,25555.3119252166,156250.581686909
-26.5,-26.5,"atl",2006,9,681,0.784847823932823,48556.3128443917,141438.84909854
-21.5,-26.5,"atl",2006,9,681,0.744497742968009,59980.7460370641,133220.981552346
-16.5,-26.5,"atl",2006,9,681,0.68901112143734,42511.9988622942,130847.133788429
-11.5,-26.5,"atl",2006,9,681,0.653130126210517,21611.0790614438,132935.410977265
-6.5,-26.5,"atl",2006,9,681,0.662860345368598,10539.1919876023,138579.582933442
-1.5,-26.5,"atl",2006,9,681,0.704918598314117,7074.5213011124,147078.86365309
3.5,-26.5,"atl",2006,9,681,0.74714386802899,7259.61538126614,158145.782854718
8.5,-26.5,"atl",2006,9,681,0.74528917502366,7663.84146947531,171737.671286155
13.5,-26.5,"atl",2006,9,681,0.668018592357239,6118.11441868859,187771.722246871
-36.5,-21.5,"atl",2006,9,681,0.751982617685857,6926.14349270482,152296.699680686
-31.5,-21.5,"atl",2006,9,681,0.746541030936776,26218.4048023994,166927.494468267
-26.5,-21.5,"atl",2006,9,681,0.777923112519143,50026.8729925694,170509.29517525
-21.5,-21.5,"atl",2006,9,681,0.767964344362923,46802.4653772774,167742.500481537
-16.5,-21.5,"atl",2006,9,681,0.691841197376781,26560.7622614186,161800.233635942
-11.5,-21.5,"atl",2006,9,681,0.609609467801319,13432.5011754915,155377.241629001
-6.5,-21.5,"atl",2006,9,681,0.597964323515317,7816.76271031533,150833.967231321
-1.5,-21.5,"atl",2006,9,681,0.67864850715804,5611.08792393298,150125.205588265
3.5,-21.5,"atl",2006,9,681,0.787842952325088,5056.22700860384,153439.939780014
8.5,-21.5,"atl",2006,9,681,0.814244814092903,5404.50025821745,160046.917392819
13.5,-21.5,"atl",2006,9,681,0.701518895414247,6445.23003699328,169286.673108979
-36.5,-16.5,"atl",2006,9,681,0.79236666968448,5046.2224311179,132335.728988664
-31.5,-16.5,"atl",2006,9,681,0.734833764519077,15504.8171860736,168478.204637438
-26.5,-16.5,"atl",2006,9,681,0.759926264455066,20064.6055182404,192795.492905621
-21.5,-16.5,"atl",2006,9,681,0.766566021000216,16206.6046651082,200946.419556631
-16.5,-16.5,"atl",2006,9,681,0.718463160950819,10795.4574054024,195762.164066293
-11.5,-16.5,"atl",2006,9,681,0.676017210487981,6687.36345518356,183329.384201194
-6.5,-16.5,"atl",2006,9,681,0.701578393848557,4248.23348464414,169738.354387273
-1.5,-16.5,"atl",2006,9,681,0.793076400890036,2987.28202471403,159515.850411887
3.5,-16.5,"atl",2006,9,681,0.881077235417907,2523.54550686978,153225.875978618
8.5,-16.5,"atl",2006,9,681,0.904517726507894,2816.90698261081,149679.40773919
-36.5,-11.5,"atl",2006,9,681,0.90307772915017,6592.94277141751,115708.015644614
-31.5,-11.5,"atl",2006,9,681,0.810120666809348,6987.34923492166,164756.498469938
-26.5,-11.5,"atl",2006,9,681,0.764450677737955,7047.30233597139,205582.563140382
